Ax,Ay,Az,Gx,Gy,Gz
0.6570785392696348,0.302226670002502,0.6407305479109333,0.4479306555976071,0.0,0.5323979280394858
0.5425212606303151,0.394045534150613,0.7162872154115588,0.5464848178314178,0.6117533181017493,0.5203568376441041
0.4952476238119059,0.4898674005504129,0.7528146109582188,0.5005493834696618,0.4942009522646807,0.5005040375324834
0.4954977488744371,0.4898674005504129,0.7525644233174882,0.5007482079634442,0.4941399096569405,0.5004883408619216
0.5205102551275638,0.1396047035276458,0.3485113835376533,0.0864206358895652,0.6199033782723198,0.531696810087727
0.5057528764382191,0.4836127095321492,0.7322992244183139,0.3476986936881944,0.4261680939009714,0.4371871566353315
0.4952476238119059,0.4898674005504129,0.7530647985989494,0.5005807768107854,0.494171302998064,0.5004726441913598
0.4469734867433716,0.4638478859144359,0.7995996997748313,0.4424071716343722,0.0,1.5696670561837767e-05
0.4954977488744371,0.4901175881911435,0.7528146109582188,0.5005807768107854,0.494171302998064,0.5004429949247432
0.5450225112556277,0.4128096072054041,0.8836627470602954,0.0,0.326593648080646,0.3482934230950346
0.5075037518759379,0.3590192644483364,0.6825118839129348,0.0,0.4856235938399288,0.4250693269616478
0.6908454227113556,0.4015511633725295,0.4648486364773581,0.4603833475766085,1.0,0.9627797059490382
0.4052026013006503,0.5281461095821868,0.5681761320990744,0.4584910267366622,1.0,0.5907860543802431
0.4949974987493746,0.4896172129096824,0.7528146109582188,0.500610426077402,0.4942462982018591,0.5005197342030452
0.5605302651325662,0.2264198148611459,0.4863647735801852,0.9606885606153096,0.243300137781886,0.5756474876606729
0.6098049024512255,0.1436077057793345,0.3882912184138104,0.0,0.5124526919790013,0.5097964665050491
0.4954977488744371,0.4901175881911435,0.7525644233174882,0.5007325112928824,0.4941399096569405,0.5004569475207981
0.2841420710355177,0.5116337252939707,0.7225419064298225,0.5870781519786525,0.0,0.3205190365732424
0.4937468734367183,0.4886164623467602,0.7528146109582188,0.5005947294068402,0.4941556063275023,0.5004116015836196
0.4954977488744371,0.4901175881911435,0.7530647985989494,0.5006557720145804,0.4942009522646807,0.5004726441913598
0.4419709854927463,0.4906179634726046,0.662496872654491,1.0,0.859052618727872,0.4671904703768945
0.5577788894447223,0.2494370778083564,0.4348261195896923,0.9999389573922596,0.3321328287144427,0.2394248042276366
0.6000500250125061,0.4288216162121592,0.5466599949962473,1.0,0.5175035317508764,0.3368174128398765
0.371935967983992,0.4568426319739806,0.5223917938453841,0.5782880164640634,0.0,0.2997349006749569
0.604552276138069,0.4793595196397299,0.7843382536902679,0.9945061653033818,0.5539773619129009,0.5164658074192929
