Ax,Ay,Az,Gx,Gy,Gz,Label
-0.017,-0.040,1.011,0.341,-3.299,0.298,Idle
-0.018,-0.040,1.011,0.341,-3.325,0.306,Idle
-0.019,-0.040,1.012,0.324,-3.307,0.289,Idle
-0.018,-0.040,1.011,0.341,-3.360,0.289,Idle
-0.017,-0.040,1.012,0.359,-3.325,0.289,Idle
-0.020,-0.041,1.011,0.359,-3.334,0.315,Idle
-0.018,-0.039,1.010,0.333,-3.307,0.324,Idle
-0.020,-0.040,1.010,0.385,-3.369,0.245,Idle
-0.019,-0.040,1.011,0.359,-3.360,0.324,Idle
-0.019,-0.040,1.011,0.376,-3.360,0.324,Idle
-0.018,-0.040,1.011,0.350,-3.316,0.289,Idle
-0.018,-0.041,1.011,0.359,-3.334,0.298,Idle
-0.017,-0.040,1.010,0.368,-3.342,0.254,Idle
-0.019,-0.040,1.012,0.359,-3.325,0.289,Idle
-0.018,-0.041,1.011,0.385,-3.334,0.306,Idle
-0.018,-0.039,1.009,0.359,-3.342,0.306,Idle
-0.018,-0.042,1.011,0.385,-3.369,0.315,Idle
-0.018,-0.039,1.010,0.394,-3.360,0.289,Idle
-0.019,-0.041,1.012,0.341,-3.334,0.306,Idle
-0.018,-0.040,1.011,0.385,-3.351,0.289,Idle
-0.017,-0.040,1.011,0.333,-3.334,0.298,Idle
-0.019,-0.041,1.012,0.350,-3.325,0.289,Idle
-0.018,-0.040,1.011,0.359,-3.307,0.333,Idle
-0.019,-0.042,1.013,0.350,-3.342,0.315,Idle
-0.018,-0.041,1.010,0.385,-3.316,0.289,Idle
-0.019,-0.039,1.010,0.324,-3.334,0.271,Idle
-0.019,-0.040,1.010,0.385,-3.342,0.271,Idle
-0.018,-0.040,1.011,0.420,-3.316,0.289,Idle
-0.018,-0.041,1.011,0.385,-3.281,0.228,Idle
-0.018,-0.041,1.011,0.403,-3.369,0.289,Idle
-0.018,-0.038,1.012,0.324,-3.342,0.228,Idle
-0.018,-0.041,1.012,0.315,-3.334,0.315,Idle
-0.017,-0.040,1.010,0.341,-3.360,0.315,Idle
-0.019,-0.040,1.011,0.315,-3.334,0.262,Idle
